Biomass species,MC,VM,FC,Ash,C,H,O,N,S,oC,ER,S/B,CO,CO2,H2,CH4
Pine Sawdust,9.28,76.98,12.9,0.83,48.24,7.44,42.99,1.28,0.06,800,0.2,0,45.45,22.73,19.63,12.19
Pine Sawdust,9.28,76.98,12.9,0.83,48.24,7.44,42.99,1.28,0.06,850,0.2,0,45.79,20.37,24.3,9.53
Pine Sawdust,9.28,76.98,12.9,0.83,48.24,7.44,42.99,1.28,0.06,900,0.2,0,46.78,18.14,26.73,8.35
Pine Sawdust,9.28,76.98,12.9,0.83,48.24,7.44,42.99,1.28,0.06,950,0.2,0,48.82,15.75,29.13,6.3
Rice Straw,7.95,59.58,13.73,18.74,52.13,6.27,39.91,1.46,0.24,700,0.15,0,43.83,39.14,7.64,9.39
Rice Straw,7.95,59.58,13.73,18.74,52.13,6.27,39.91,1.46,0.24,700,0.18,0,30.38,49.36,9.15,11.11
Rice Straw,7.95,59.58,13.73,18.74,52.13,6.27,39.91,1.46,0.24,700,0.21,0,27.76,53.31,8.27,10.66
Rice Straw,7.95,59.58,13.73,18.74,52.13,6.27,39.91,1.46,0.24,700,0.22,0,27.6,55.66,7.36,9.38
Rice Straw,7.95,59.58,13.73,18.74,52.13,6.27,39.91,1.46,0.24,700,0.24,0,25.43,59.04,6.36,9.17
Rice Husk,12.81,58.81,14.06,14.32,46.84,6.46,45.79,0.75,0.15,720,0.26,0,39.46,36.78,11.94,11.81
Rice Husk,12.81,58.81,14.06,14.32,46.84,6.46,45.79,0.75,0.15,770,0.26,0,40.79,35.9,11.89,11.42
Rice Husk,12.81,58.81,14.06,14.32,46.84,6.46,45.79,0.75,0.15,788,0.26,0,40.4,30.55,14.07,14.97
Rice Husk,12.81,58.81,14.06,14.32,46.84,6.46,45.79,0.75,0.15,812.5,0.26,0,39.54,36.5,11.92,12.04
Rice Husk,12.81,58.81,14.06,14.32,46.84,6.46,45.79,0.75,0.15,837.5,0.26,0,35.75,38.86,12.95,12.44
Rice Husk,9.95,59.92,11.31,18.82,49.07,3.79,46.42,0.63,0.09,750,0,0.75,29.89,16.09,50.23,3.79
Sugarcane Bagasse,13.05,71.04,12.57,3.35,46.1,5.26,44.25,0.19,4.2,750,0,0.75,27.11,14.49,54.18,4.22
Groundnut Shell,10.12,60.64,23.84,5.39,52.54,5.37,41.01,0.59,0.49,750,0,0.75,30.05,14.02,51.83,4.11
Rice Husk,9.95,59.92,11.31,18.82,49.07,3.79,46.42,0.63,0.09,750,0,1,24.19,22.48,49.78,3.55
Sugarcane Bagasse,13.05,71.04,12.57,3.35,46.1,5.26,44.25,0.19,4.2,750,0,1,22.14,20.53,53.02,4.31
Groundnut Shell,10.12,60.64,23.84,5.39,52.54,5.37,41.01,0.59,0.49,750,0,1,25.7,17.07,52.91,4.32
Rice Husk,9.95,59.92,11.31,18.82,49.07,3.79,46.42,0.63,0.09,750,0,1.25,20.78,24.54,49.98,4.7
Sugarcane Bagasse,13.05,71.04,12.57,3.35,46.1,5.26,44.25,0.19,4.2,750,0,1.25,19.74,21.52,54.17,4.57
Groundnut Shell,10.12,60.64,23.84,5.39,52.54,5.37,41.01,0.59,0.49,750,0,1.25,21.64,19.71,54.09,4.56
Rice Husk,9.95,59.92,11.31,18.82,49.07,3.79,46.42,0.63,0.09,750,0,1.5,18.11,26.08,50.86,4.95
Sugarcane Bagasse,13.05,71.04,12.57,3.35,46.1,5.26,44.25,0.19,4.2,750,0,1.5,17.05,24.07,54.26,4.61
Groundnut Shell,10.12,60.64,23.84,5.39,52.54,5.37,41.01,0.59,0.49,750,0,1.5,19.92,21.17,54.29,4.62
Rice Husk,9.95,59.92,11.31,18.82,49.07,3.79,46.42,0.63,0.09,750,0,1.75,16.24,27.77,51.93,4.06
Sugarcane Bagasse,13.05,71.04,12.57,3.35,46.1,5.26,44.25,0.19,4.2,750,0,1.75,15.76,25.14,54.36,4.74
Groundnut Shell,10.12,60.64,23.84,5.39,52.54,5.37,41.01,0.59,0.49,750,0,1.75,17.94,22.55,54.71,4.81
Rice Husk,9.95,59.92,11.31,18.82,49.07,3.79,46.42,0.63,0.09,750,0,2,14.97,28.75,52.06,4.22
Sugarcane Bagasse,13.05,71.04,12.57,3.35,46.1,5.26,44.25,0.19,4.2,750,0,2,14.01,26.02,55.02,4.95
Groundnut Shell,10.12,60.64,23.84,5.39,52.54,5.37,41.01,0.59,0.49,750,0,2,16.01,23.93,55.09,4.97
Rice Husk,9.95,59.92,11.31,18.82,49.07,3.79,46.42,0.63,0.09,650,0,1.32,13.18,31.95,45.93,8.94
Sugarcane Bagasse,13.05,71.04,12.57,3.35,46.1,5.26,44.25,0.19,4.2,650,0,1.32,12,29.5,48.2,10.3
Groundnut Shell,10.12,60.64,23.84,5.39,52.54,5.37,41.01,0.59,0.49,650,0,1.32,14.6,26.28,48.59,10.52
Rice Husk,9.95,59.92,11.31,18.82,49.07,3.79,46.42,0.63,0.09,675,0,1.32,15.11,30.02,47.62,7.25
Sugarcane Bagasse,13.05,71.04,12.57,3.35,46.1,5.26,44.25,0.19,4.2,675,0,1.32,13.93,27.35,50.15,8.58
Groundnut Shell,10.12,60.64,23.84,5.39,52.54,5.37,41.01,0.59,0.49,675,0,1.32,16.55,24.57,50.35,8.53
Rice Husk,9.95,59.92,11.31,18.82,49.07,3.79,46.42,0.63,0.09,700,0,1.32,16.7,27.83,48.71,6.76
Sugarcane Bagasse,13.05,71.04,12.57,3.35,46.1,5.26,44.25,0.19,4.2,700,0,1.32,15.48,25.6,51.09,7.84
Groundnut Shell,10.12,60.64,23.84,5.39,52.54,5.37,41.01,0.59,0.49,700,0,1.32,18.55,23.31,52.51,5.63
